layer,feature,input,context,trust,output
Trust-1,x0,1.219956874847412,-1.1254;0.7980;0.6501;0.8228,0.4951663911342621,0.6629250645637512
Trust-2,x0,0.20604246854782104,-0.5175;-0.4158;-0.0938;0.2012,0.47312283515930176,0.0028816554695367813
Trust-3,x0,0.41104602813720703,0.2971;-0.3220;0.4835;0.1140,0.49515798687934875,0.4356749951839447
Trust-4,x0,0.07973150163888931,0.3494;-0.0137;0.0956;0.4618,0.501792848110199,-0.7609524726867676
Trust-5,x0,0.9795436859130859,-0.2746;-0.1167;-0.3403;0.0043,0.5196617245674133,2.3411762714385986
Trust-6,x0,0.7482601404190063,0.0556;-0.1979;-0.0672;0.0838,0.49551716446876526,2.2163403034210205
Trust-7,x0,0.15701499581336975,0.0362;-0.6348;0.2265;0.2076,0.49771854281425476,-0.3755102753639221
Trust-8,x0,0.0,-0.2637;0.3910;0.2854;-0.0715,0.5076553821563721,-0.7832881808280945
Trust-9,x0,0.0,0.2894;0.6317;0.1006;-0.0329,0.5087300539016724,-0.6232578754425049
Trust-10,x0,0.0,-0.2604;0.2651;0.1318;0.1467,0.5006051659584045,-0.5543451905250549
